original_instance_name,original_family,original_n_variables,original_n_edges,subqubo_name,subqubo_json,subqubo_n_variables,subqubo_n_edges,extraction_strategy,k_variables,variable_preservation_ratio,edge_preservation_ratio,weighted_edge_preservation_ratio,p,gamma,beta,topology,optimization_level,seed_transpiler,pre_transpile_depth,pre_transpile_gate_count,pre_transpile_2q_count,pre_transpile_ops_json,transpiled_depth,transpiled_gate_count,transpiled_2q_count,swap_count,cx_count,transpilation_time_sec,transpiled_ops_json,depth_overhead,twoq_overhead,failure_flag,failure_message,original_pre_transpile_depth,original_pre_transpile_2q_count,original_transpiled_depth,original_transpiled_gate_count,original_transpiled_2q_count,original_swap_count,original_depth_overhead,original_twoq_overhead,depth_reduction_vs_original,twoq_reduction_vs_original,swap_reduction_vs_original,pre_depth_reduction_vs_original,pre_2q_reduction_vs_original,pct_depth_reduction_vs_original,pct_twoq_reduction_vs_original,pct_swap_reduction_vs_original,pct_pre_depth_reduction_vs_original,pct_pre_2q_reduction_vs_original
maxcut_n32_p0.30_seed202,maxcut,32,141,maxcut_n32_p0.30_seed202_sub_top_weight_edges_k12,data/subqubos_rq3_full/maxcut_n32_p0.30_seed202_sub_top_weight_edges_k12.json,12,21,top_weight_edges,12,0.375,0.1489361702127659,0.1751269035532995,1,0.7,0.3,heavy_hex_like,1,123,30,101,42,"{""barrier"": 2, ""cx"": 42, ""h"": 12, ""rx"": 12, ""rz"": 33}",52,185,54,12,42,0.0020077090011909,"{""barrier"": 2, ""cx"": 42, ""rz"": 93, ""swap"": 12, ""sx"": 36}",1.7333333333333334,1.2857142857142858,False,,101,282,251,936,537,255,2.485148514851485,1.904255319148936,199,483,243,71,240,79.28286852589642,89.94413407821229,95.29411764705883,70.29702970297029,85.1063829787234
maxcut_n32_p0.30_seed202,maxcut,32,141,maxcut_n32_p0.30_seed202_sub_high_degree_nodes_k12,data/subqubos_rq3_full/maxcut_n32_p0.30_seed202_sub_high_degree_nodes_k12.json,12,36,high_degree_nodes,12,0.375,0.2553191489361702,0.2436548223350254,1,0.7,0.3,line,1,123,51,146,72,"{""barrier"": 2, ""cx"": 72, ""h"": 12, ""rx"": 12, ""rz"": 48}",77,263,117,45,72,0.0020397918997332,"{""barrier"": 2, ""cx"": 72, ""rz"": 108, ""swap"": 45, ""sx"": 36}",1.5098039215686274,1.625,False,,101,282,341,1218,819,537,3.376237623762376,2.904255319148936,264,702,492,50,210,77.41935483870968,85.71428571428571,91.62011173184358,49.504950495049506,74.46808510638297
maxcut_n32_p0.30_seed202,maxcut,32,141,maxcut_n32_p0.30_seed202_sub_high_degree_nodes_k12,data/subqubos_rq3_full/maxcut_n32_p0.30_seed202_sub_high_degree_nodes_k12.json,12,36,high_degree_nodes,12,0.375,0.2553191489361702,0.2436548223350254,1,0.7,0.3,grid_2d,1,123,51,146,72,"{""barrier"": 2, ""cx"": 72, ""h"": 12, ""rx"": 12, ""rz"": 48}",80,237,91,19,72,0.0020570000633597,"{""barrier"": 2, ""cx"": 72, ""rz"": 108, ""swap"": 19, ""sx"": 36}",1.568627450980392,1.2638888888888888,False,,101,282,216,846,447,165,2.1386138613861387,1.5851063829787233,136,356,146,50,210,62.96296296296296,79.6420581655481,88.48484848484848,49.504950495049506,74.46808510638297
maxcut_n32_p0.30_seed202,maxcut,32,141,maxcut_n32_p0.30_seed202_sub_high_degree_nodes_k12,data/subqubos_rq3_full/maxcut_n32_p0.30_seed202_sub_high_degree_nodes_k12.json,12,36,high_degree_nodes,12,0.375,0.2553191489361702,0.2436548223350254,1,0.7,0.3,heavy_hex_like,1,123,51,146,72,"{""barrier"": 2, ""cx"": 72, ""h"": 12, ""rx"": 12, ""rz"": 48}",88,240,94,22,72,0.0020429579308256,"{""barrier"": 2, ""cx"": 72, ""rz"": 108, ""swap"": 22, ""sx"": 36}",1.7254901960784317,1.3055555555555556,False,,101,282,251,936,537,255,2.485148514851485,1.904255319148936,163,443,233,50,210,64.9402390438247,82.4953445065177,91.37254901960785,49.504950495049506,74.46808510638297
maxcut_n32_p0.30_seed202,maxcut,32,141,maxcut_n32_p0.30_seed202_sub_weighted_degree_nodes_k12,data/subqubos_rq3_full/maxcut_n32_p0.30_seed202_sub_weighted_degree_nodes_k12.json,12,35,weighted_degree_nodes,12,0.375,0.2482269503546099,0.2703045685279188,1,0.7,0.3,line,1,123,54,143,70,"{""barrier"": 2, ""cx"": 70, ""h"": 12, ""rx"": 12, ""rz"": 47}",91,259,114,44,70,0.0020132500212639,"{""barrier"": 2, ""cx"": 70, ""rz"": 107, ""swap"": 44, ""sx"": 36}",1.6851851851851851,1.6285714285714286,False,,101,282,341,1218,819,537,3.376237623762376,2.904255319148936,250,705,493,47,212,73.31378299120234,86.08058608058609,91.80633147113593,46.53465346534654,75.177304964539
maxcut_n32_p0.30_seed202,maxcut,32,141,maxcut_n32_p0.30_seed202_sub_weighted_degree_nodes_k12,data/subqubos_rq3_full/maxcut_n32_p0.30_seed202_sub_weighted_degree_nodes_k12.json,12,35,weighted_degree_nodes,12,0.375,0.2482269503546099,0.2703045685279188,1,0.7,0.3,grid_2d,1,123,54,143,70,"{""barrier"": 2, ""cx"": 70, ""h"": 12, ""rx"": 12, ""rz"": 47}",79,234,89,19,70,0.002046333043836,"{""barrier"": 2, ""cx"": 70, ""rz"": 107, ""swap"": 19, ""sx"": 36}",1.462962962962963,1.2714285714285714,False,,101,282,216,846,447,165,2.1386138613861387,1.5851063829787233,137,358,146,47,212,63.425925925925924,80.08948545861297,88.48484848484848,46.53465346534654,75.177304964539
maxcut_n32_p0.30_seed202,maxcut,32,141,maxcut_n32_p0.30_seed202_sub_weighted_degree_nodes_k12,data/subqubos_rq3_full/maxcut_n32_p0.30_seed202_sub_weighted_degree_nodes_k12.json,12,35,weighted_degree_nodes,12,0.375,0.2482269503546099,0.2703045685279188,1,0.7,0.3,heavy_hex_like,1,123,54,143,70,"{""barrier"": 2, ""cx"": 70, ""h"": 12, ""rx"": 12, ""rz"": 47}",90,237,92,22,70,0.0020670410012826,"{""barrier"": 2, ""cx"": 70, ""rz"": 107, ""swap"": 22, ""sx"": 36}",1.6666666666666667,1.3142857142857145,False,,101,282,251,936,537,255,2.485148514851485,1.904255319148936,161,445,233,47,212,64.14342629482071,82.86778398510242,91.37254901960785,46.53465346534654,75.177304964539
maxcut_n32_p0.30_seed202,maxcut,32,141,maxcut_n32_p0.30_seed202_sub_random_nodes_k12,data/subqubos_rq3_full/maxcut_n32_p0.30_seed202_sub_random_nodes_k12.json,12,16,random_nodes,12,0.375,0.1134751773049645,0.1269035532994923,1,0.7,0.3,line,1,123,27,86,32,"{""barrier"": 2, ""cx"": 32, ""h"": 12, ""rx"": 12, ""rz"": 28}",38,166,40,8,32,0.001972041092813,"{""barrier"": 2, ""cx"": 32, ""rz"": 88, ""swap"": 8, ""sx"": 36}",1.4074074074074074,1.25,False,,101,282,341,1218,819,537,3.376237623762376,2.904255319148936,303,779,529,74,250,88.85630498533725,95.11599511599512,98.51024208566108,73.26732673267327,88.65248226950355
maxcut_n32_p0.30_seed202,maxcut,32,141,maxcut_n32_p0.30_seed202_sub_random_nodes_k12,data/subqubos_rq3_full/maxcut_n32_p0.30_seed202_sub_random_nodes_k12.json,12,16,random_nodes,12,0.375,0.1134751773049645,0.1269035532994923,1,0.7,0.3,grid_2d,1,123,27,86,32,"{""barrier"": 2, ""cx"": 32, ""h"": 12, ""rx"": 12, ""rz"": 28}",37,163,37,5,32,0.002051957999356,"{""barrier"": 2, ""cx"": 32, ""rz"": 88, ""swap"": 5, ""sx"": 36}",1.3703703703703705,1.15625,False,,101,282,216,846,447,165,2.1386138613861387,1.5851063829787233,179,410,160,74,250,82.87037037037037,91.72259507829978,96.96969696969697,73.26732673267327,88.65248226950355
maxcut_n32_p0.30_seed202,maxcut,32,141,maxcut_n32_p0.30_seed202_sub_random_nodes_k12,data/subqubos_rq3_full/maxcut_n32_p0.30_seed202_sub_random_nodes_k12.json,12,16,random_nodes,12,0.375,0.1134751773049645,0.1269035532994923,1,0.7,0.3,heavy_hex_like,1,123,27,86,32,"{""barrier"": 2, ""cx"": 32, ""h"": 12, ""rx"": 12, ""rz"": 28}",38,163,37,5,32,0.0019292080542072,"{""barrier"": 2, ""cx"": 32, ""rz"": 88, ""swap"": 5, ""sx"": 36}",1.4074074074074074,1.15625,False,,101,282,251,936,537,255,2.485148514851485,1.904255319148936,213,500,250,74,250,84.86055776892431,93.10986964618249,98.03921568627452,73.26732673267327,88.65248226950355
