original_family,k_variables,extraction_strategy,n_subqubos,mean_weighted_edge_preservation,mean_edge_preservation,mean_pct_depth_reduction_vs_original,mean_pct_twoq_reduction_vs_original,mean_pct_swap_reduction_vs_original,mean_sub_transpiled_depth,mean_sub_transpiled_2q,mean_sub_swap_count,mean_original_transpiled_depth,mean_original_transpiled_2q,mean_original_swap_count,mean_energy_gap_vs_reference,median_energy_gap_vs_reference,mean_normalized_energy_gap_vs_reference,median_normalized_energy_gap_vs_reference,mean_lifted_hamming_weight,mean_original_reference_hamming_weight,weighted_preservation_per_depth,weighted_preservation_per_2q,weighted_preservation_per_swap_plus_one,quality_gap_per_weighted_preservation
assignment,8,high_degree_nodes,6,0.2916666666666667,0.2916666666666667,0.0,70.83333333333333,,12.0,8.0,0.0,12.0,28.0,0.0,52.333333333333336,51.5,0.8592429518703596,0.8822605965288037,4.0,13.833333333333334,0.024305555555555556,0.036458333333333336,0.2916666666666667,2.945975824883601
assignment,8,random_nodes,6,0.1770833333333333,0.1770833333333333,0.0,82.29166666666667,,12.0,5.0,0.0,12.0,28.0,0.0,49.833333333333336,49.0,0.8127192495553981,0.8341836734550825,5.0,13.833333333333334,0.01475694444444444,0.03541666666666666,0.1770833333333333,4.589473383336988
assignment,8,top_weight_edges,6,0.2916666666666667,0.2916666666666667,0.0,70.83333333333333,,12.0,8.0,0.0,12.0,28.0,0.0,52.333333333333336,51.5,0.8592429518703596,0.8822605965288037,4.0,13.833333333333334,0.024305555555555556,0.036458333333333336,0.2916666666666667,2.945975824883601
assignment,8,weighted_degree_nodes,6,0.2916666666666667,0.2916666666666667,0.0,70.83333333333333,,12.0,8.0,0.0,12.0,28.0,0.0,52.333333333333336,51.5,0.8592429518703596,0.8822605965288037,4.0,13.833333333333334,0.024305555555555556,0.036458333333333336,0.2916666666666667,2.945975824883601
assignment,12,high_degree_nodes,6,0.4375,0.4375,0.0,56.25,,12.0,12.0,0.0,12.0,28.0,0.0,40.0,39.5,0.6499063492129333,0.653453689155024,6.0,13.833333333333334,0.036458333333333336,0.036458333333333336,0.4375,1.4855002233769898
assignment,12,random_nodes,6,0.1145833333333333,0.1145833333333333,0.0,88.54166666666667,,12.0,3.0,0.0,12.0,28.0,0.0,29.166666666666668,28.5,0.4581665906313926,0.4589054157067999,9.833333333333334,13.833333333333334,0.009548611111111108,0.038194444444444434,0.1145833333333333,3.9985447560684912
assignment,12,top_weight_edges,6,0.4375,0.4375,0.0,56.25,,12.0,12.0,0.0,12.0,28.0,0.0,40.0,39.5,0.6499063492129333,0.653453689155024,6.0,13.833333333333334,0.036458333333333336,0.036458333333333336,0.4375,1.4855002233769898
assignment,12,weighted_degree_nodes,6,0.4375,0.4375,0.0,56.25,,12.0,12.0,0.0,12.0,28.0,0.0,40.0,39.5,0.6499063492129333,0.653453689155024,6.0,13.833333333333334,0.036458333333333336,0.036458333333333336,0.4375,1.4855002233769898
assignment,16,high_degree_nodes,6,0.5833333333333334,0.5833333333333334,0.0,41.666666666666664,,12.0,16.0,0.0,12.0,28.0,0.0,30.666666666666668,31.5,0.49053522339758215,0.4897568287744982,8.0,13.833333333333334,0.04861111111111111,0.036458333333333336,0.5833333333333334,0.8409175243828536
assignment,16,random_nodes,6,0.3541666666666667,0.3541666666666667,0.0,64.58333333333333,,12.0,10.0,0.0,12.0,28.0,0.0,20.833333333333332,21.5,0.31676390630868867,0.3281712900565985,10.333333333333334,13.833333333333334,0.02951388888888889,0.035416666666666666,0.3541666666666667,0.8943922035227193
assignment,16,top_weight_edges,6,0.5833333333333334,0.5833333333333334,0.0,41.666666666666664,,12.0,16.0,0.0,12.0,28.0,0.0,30.666666666666668,31.5,0.49053522339758215,0.4897568287744982,8.0,13.833333333333334,0.04861111111111111,0.036458333333333336,0.5833333333333334,0.8409175243828536
assignment,16,weighted_degree_nodes,6,0.5833333333333334,0.5833333333333334,0.0,41.666666666666664,,12.0,16.0,0.0,12.0,28.0,0.0,30.666666666666668,31.5,0.49053522339758215,0.4897568287744982,8.0,13.833333333333334,0.04861111111111111,0.036458333333333336,0.5833333333333334,0.8409175243828536
maxcut,8,high_degree_nodes,12,0.11735555932875073,0.11894330967724386,79.0137888237219,91.47998130263238,95.90820753884616,50.52777777777778,47.083333333333336,10.083333333333334,259.36111111111114,618.6388888888888,267.63888888888886,208.25,186.0,0.2985377711441994,0.29583748081736483,7.666666666666667,14.0,0.002322594907001114,0.002492507454769927,0.010588471518383524,2.5438741062451484
maxcut,8,random_nodes,12,0.07719957935599601,0.07668460540049037,85.18150980694215,94.65819262471491,97.81422278599439,36.583333333333336,30.833333333333332,5.666666666666667,259.36111111111114,618.6388888888888,267.63888888888886,255.25,230.0,0.38306497403282086,0.39081892730393586,7.666666666666667,14.0,0.002110239071234515,0.0025037701412755466,0.011579936903399401,4.9620085014240445
maxcut,8,top_weight_edges,12,0.12154330442929384,0.10308063682685122,81.24205157534236,92.6009439109061,96.46290030050311,44.0,39.361111111111114,8.194444444444445,259.36111111111114,618.6388888888888,267.63888888888886,277.1666666666667,261.0,0.4132475643898843,0.40340965407831286,7.083333333333333,14.0,0.0027623478279384965,0.003087903288253054,0.013219211357868816,3.400002681598004
maxcut,8,weighted_degree_nodes,12,0.13529655205104196,0.11454410104190893,80.15989479180996,91.73131863207608,95.9715150166028,48.30555555555555,44.97222222222222,9.805555555555555,259.36111111111114,618.6388888888888,267.63888888888886,191.58333333333334,162.0,0.28339061955865597,0.2839472022438949,7.333333333333333,14.0,0.002800848691108402,0.003008447111697042,0.012521017670533447,2.094588614181058
maxcut,12,high_degree_nodes,12,0.26239348685218766,0.2618270132570118,62.98754724777762,79.32050572641148,86.40976340816745,90.55555555555556,114.97222222222223,32.63888888888889,259.36111111111114,618.6388888888888,267.63888888888886,135.66666666666666,119.5,0.19778566800311725,0.18455317982423086,9.666666666666666,14.0,0.002897596787324772,0.002282233758559738,0.0078003018387107804,0.7537750636347137
maxcut,12,random_nodes,12,0.21249973423862833,0.2028487946686678,70.99215079962491,84.0556019606333,89.79032506076504,71.77777777777779,88.66666666666667,24.666666666666668,259.36111111111114,618.6388888888888,267.63888888888886,168.0,154.5,0.2501229715785681,0.2409635590628858,10.083333333333334,14.0,0.002960522613231664,0.0023966135440446805,0.008279210424881623,1.1770507445465306
maxcut,12,top_weight_edges,12,0.2572196270417671,0.2227132521869125,69.72025772338141,82.25371216420353,88.20541235597511,73.63888888888889,96.44444444444444,27.61111111111111,259.36111111111114,618.6388888888888,267.63888888888886,178.25,167.0,0.2633530912014116,0.25082172037612976,9.0,14.0,0.0034929862593374634,0.0026670237826911334,0.008990200556799628,1.0238452376528921
maxcut,12,weighted_degree_nodes,12,0.28242679636557977,0.2503169405467069,64.02306755945881,80.16226435393766,86.88965322799667,88.1388888888889,109.08333333333333,31.583333333333332,259.36111111111114,618.6388888888888,267.63888888888886,120.58333333333333,114.0,0.1772910237043551,0.16986022977032617,9.416666666666666,14.0,0.003204338061506735,0.0025890920980801814,0.008667830067485826,0.6277415080937433
maxcut,16,high_degree_nodes,12,0.43401790429035936,0.4333413887826998,46.9748351083789,62.819849619647954,70.78067728115401,130.36111111111111,206.75,69.25,259.36111111111114,618.6388888888888,267.63888888888886,85.08333333333333,69.0,0.12008088109699011,0.13011115022868236,11.333333333333334,14.0,0.0033293510663654244,0.002099240165854217,0.006178190808403692,0.276672643301791
maxcut,16,random_nodes,12,0.3399886593520025,0.3401054561228744,55.8493682694017,70.43789402393965,76.22284944247444,109.83333333333333,169.19444444444443,58.52777777777778,259.36111111111114,618.6388888888888,267.63888888888886,95.91666666666667,98.0,0.14188010668710546,0.1376668554069178,11.916666666666666,14.0,0.0030954961397754405,0.002009455218629468,0.005711428715199296,0.4173083494614552
maxcut,16,top_weight_edges,12,0.4173681725385006,0.3752908760954324,54.181991422492054,67.85257307746642,74.83311666646586,112.1388888888889,178.33333333333334,59.666666666666664,259.36111111111114,618.6388888888888,267.63888888888886,104.58333333333333,106.5,0.15005748284969575,0.14954972552763235,10.333333333333334,14.0,0.0037218861063626507,0.0023403822759168256,0.006879695151733527,0.3595326437506944
maxcut,16,weighted_degree_nodes,12,0.4560444069245819,0.4178191480238469,48.04504273791965,64.32147969244822,72.06178971256791,128.19444444444443,198.7222222222222,66.72222222222221,259.36111111111114,618.6388888888888,267.63888888888886,69.58333333333333,42.5,0.09857700477663678,0.0856668596024404,10.583333333333334,14.0,0.0035574428275807046,0.002294883792184086,0.006734043744579554,0.21615659147154564
scheduling_toy,8,high_degree_nodes,6,0.21072661892546654,0.17540306915306914,70.61684312062748,87.46465514764179,94.53130645798332,29.833333333333332,30.722222222222225,5.388888888888889,114.22222222222221,289.05555555555554,135.72222222222223,33.833333333333336,32.0,0.3836139711094983,0.38083333332895264,3.1666666666666665,9.5,0.007063462086887147,0.006859094286904878,0.03298329687529041,1.820434320282751
scheduling_toy,8,random_nodes,6,0.12961014560770015,0.11035717754467751,74.75853016676295,92.71778191505642,98.34565175153743,24.11111111111111,17.444444444444446,1.7777777777777777,114.22222222222221,289.05555555555554,135.72222222222223,29.166666666666668,29.5,0.3296528121489785,0.33166666666279443,4.166666666666667,9.5,0.005375535992946089,0.0074298809584031926,0.046659652418772055,2.5434182490878676
