scope,topology,predictor,outcome,spearman_corr,n,abs_spearman_corr
within_topology,grid_2d,mean_topology_distance,transpiled_2q_count,0.9222467264871532,60,0.9222467264871532
within_topology,grid_2d,weighted_mean_topology_distance,swap_count,0.934612267613854,60,0.934612267613854
within_topology,grid_2d,weighted_mean_topology_distance,depth_overhead,0.4291268463707673,60,0.4291268463707673
within_topology,grid_2d,weighted_mean_topology_distance,twoq_overhead,0.9370035571074042,60,0.9370035571074042
within_topology,grid_2d,weighted_mean_topology_distance,transpiled_depth,0.9335546616017761,60,0.9335546616017761
within_topology,grid_2d,weighted_mean_topology_distance,transpiled_2q_count,0.8927698700676632,60,0.8927698700676632
within_topology,grid_2d,max_topology_distance,swap_count,0.9006514336590662,60,0.9006514336590662
within_topology,grid_2d,max_topology_distance,depth_overhead,0.47601373499651006,60,0.47601373499651006
within_topology,grid_2d,max_topology_distance,twoq_overhead,0.8931745219976661,60,0.8931745219976661
within_topology,grid_2d,max_topology_distance,transpiled_depth,0.8786175518794125,60,0.8786175518794125
within_topology,grid_2d,max_topology_distance,transpiled_2q_count,0.8941349827050131,60,0.8941349827050131
within_topology,heavy_hex_like,topology_alignment_ratio,swap_count,-0.9232001981309539,60,0.9232001981309539
within_topology,heavy_hex_like,topology_alignment_ratio,depth_overhead,-0.3803571372984435,60,0.3803571372984435
within_topology,heavy_hex_like,topology_alignment_ratio,twoq_overhead,-0.9130853382195271,60,0.9130853382195271
within_topology,heavy_hex_like,topology_alignment_ratio,transpiled_depth,-0.9377390760975741,60,0.9377390760975741
within_topology,heavy_hex_like,topology_alignment_ratio,transpiled_2q_count,-0.8780979044720645,60,0.8780979044720645
within_topology,heavy_hex_like,weighted_topology_alignment_ratio,swap_count,-0.8392186470548584,60,0.8392186470548584
within_topology,heavy_hex_like,weighted_topology_alignment_ratio,depth_overhead,-0.19629052388196225,60,0.19629052388196225
within_topology,heavy_hex_like,weighted_topology_alignment_ratio,twoq_overhead,-0.814551047708478,60,0.814551047708478
within_topology,heavy_hex_like,weighted_topology_alignment_ratio,transpiled_depth,-0.8727557643715932,60,0.8727557643715932
within_topology,heavy_hex_like,weighted_topology_alignment_ratio,transpiled_2q_count,-0.7984429176497636,60,0.7984429176497636
within_topology,heavy_hex_like,mean_topology_distance,swap_count,0.9772951891162454,60,0.9772951891162454
within_topology,heavy_hex_like,mean_topology_distance,depth_overhead,0.524402773828129,60,0.524402773828129
within_topology,heavy_hex_like,mean_topology_distance,twoq_overhead,0.9761662994944359,60,0.9761662994944359
within_topology,heavy_hex_like,mean_topology_distance,transpiled_depth,0.9543529871140152,60,0.9543529871140152
within_topology,heavy_hex_like,mean_topology_distance,transpiled_2q_count,0.9375023044722122,60,0.9375023044722122
within_topology,heavy_hex_like,weighted_mean_topology_distance,swap_count,0.9694775140375274,60,0.9694775140375274
within_topology,heavy_hex_like,weighted_mean_topology_distance,depth_overhead,0.45565147078821455,60,0.45565147078821455
within_topology,heavy_hex_like,weighted_mean_topology_distance,twoq_overhead,0.9612952180335461,60,0.9612952180335461
within_topology,heavy_hex_like,weighted_mean_topology_distance,transpiled_depth,0.9660973984726985,60,0.9660973984726985
within_topology,heavy_hex_like,weighted_mean_topology_distance,transpiled_2q_count,0.9318732865231043,60,0.9318732865231043
within_topology,heavy_hex_like,max_topology_distance,swap_count,0.9781603707628522,60,0.9781603707628522
within_topology,heavy_hex_like,max_topology_distance,depth_overhead,0.541503988824646,60,0.541503988824646
within_topology,heavy_hex_like,max_topology_distance,twoq_overhead,0.9656607594532681,60,0.9656607594532681
within_topology,heavy_hex_like,max_topology_distance,transpiled_depth,0.9586922199689615,60,0.9586922199689615
within_topology,heavy_hex_like,max_topology_distance,transpiled_2q_count,0.9427844641754787,60,0.9427844641754787
within_topology,line,topology_alignment_ratio,swap_count,-0.9146749598534855,60,0.9146749598534855
within_topology,line,topology_alignment_ratio,depth_overhead,-0.05984245384869,60,0.05984245384869
within_topology,line,topology_alignment_ratio,twoq_overhead,-0.9010742626161768,60,0.9010742626161768
within_topology,line,topology_alignment_ratio,transpiled_depth,-0.9363696732205449,60,0.9363696732205449
within_topology,line,topology_alignment_ratio,transpiled_2q_count,-0.861545812465779,60,0.861545812465779
within_topology,line,weighted_topology_alignment_ratio,swap_count,-0.8358152075020643,60,0.8358152075020643
within_topology,line,weighted_topology_alignment_ratio,depth_overhead,0.07015018066847335,60,0.07015018066847335
within_topology,line,weighted_topology_alignment_ratio,twoq_overhead,-0.8164227364266102,60,0.8164227364266102
within_topology,line,weighted_topology_alignment_ratio,transpiled_depth,-0.8638397604904015,60,0.8638397604904015
within_topology,line,weighted_topology_alignment_ratio,transpiled_2q_count,-0.7785673060316461,60,0.7785673060316461
