model_name,outcome,term,coef,std_error_hc3,t_value,p_value,ci_lower,ci_upper
M1_pre_depth_graph,log_pre_depth,Intercept,2.1741308581836876,0.08600396484982203,25.279425919259655,5.378823910892196e-141,2.005566184550388,2.3426955318169873
M1_pre_depth_graph,log_pre_depth,C(family)[T.maxcut],1.5480058948463347,0.1267659201018638,12.211530461834078,2.6976634369426456e-34,1.2995492569795997,1.7964625327130697
M1_pre_depth_graph,log_pre_depth,C(family)[T.scheduling_toy],1.4814737172033339,0.11031076545845395,13.430001242818838,4.0340473491558987e-41,1.2652685897977192,1.6976788446089486
M1_pre_depth_graph,log_pre_depth,z_n_edges,-0.1934628828895349,0.09319269746639648,-2.075944662502059,0.03789906932705499,-0.3761172135458092,-0.010808552233260632
M1_pre_depth_graph,log_pre_depth,z_density,0.06518205436274721,0.03150364515513194,2.0690321403054868,0.03854307077719491,0.0034360444769588466,0.1269280642485356
M1_pre_depth_graph,log_pre_depth,z_max_degree,1.1650211263734507,0.0915172415089919,12.73007257609467,4.024649163145042e-37,0.9856506290513725,1.344391623695529
M1_pre_depth_graph,log_pre_depth,z_weighted_degree_mean,-0.41686169999225287,0.08679852947735628,-4.80263551125025,1.5659077474419263e-06,-0.5869836916789094,-0.24673970830559633
M1_pre_depth_graph,log_pre_depth,z_coefficient_entropy,0.3848142505740909,0.033923217068642736,11.343683878667209,7.971658729386018e-30,0.31832596687981674,0.4513025342683651
M2_transpiled_depth_graph_topologyFE,log_transpiled_depth,Intercept,2.5679799631096314,0.12919983271513824,19.876031641399667,6.562357409045994e-88,2.314752944179361,2.821206982039902
M2_transpiled_depth_graph_topologyFE,log_transpiled_depth,C(family)[T.maxcut],1.3450770453276093,0.16632522100505334,8.087029959736189,6.113723220313985e-16,1.0190856024370398,1.6710684882181788
M2_transpiled_depth_graph_topologyFE,log_transpiled_depth,C(family)[T.scheduling_toy],1.4108700581411158,0.15071227093495457,9.36134827899998,7.872558017430586e-21,1.115479435080362,1.7062606812018695
M2_transpiled_depth_graph_topologyFE,log_transpiled_depth,C(topology)[T.grid_2d],0.3341410867380339,0.04566760455549088,7.316807833264338,2.5393908811771525e-13,0.24463422654905445,0.42364794692701335
M2_transpiled_depth_graph_topologyFE,log_transpiled_depth,C(topology)[T.heavy_hex_like],0.39003303143789125,0.046625611357587395,8.365210022590322,6.000793875671148e-17,0.29864851241985824,0.48141755045592427
