instance_name,family,n_variables,n_edges,density,avg_degree,max_degree,degree_std,weighted_degree_mean,weighted_degree_max,weighted_degree_std,quadratic_coeff_min,quadratic_coeff_max,quadratic_coeff_abs_mean,quadratic_coeff_abs_max,quadratic_coeff_range,coefficient_entropy,coefficient_concentration,connected_components,largest_component_size,community_count,modularity,seed,constant,edge_probability,n_items,n_bins,n_operations,n_machines,conflict_probability,n_conflict_pairs,qubo_json
scheduling_ops8_machines2_conf0.35_seed101,scheduling_toy,16,20,0.16666666666666666,2.5,4.0,1.0,29.0,38.0,6.0,6.0,20.0,11.6,20.0,14.0,0.9428919451264198,0.08620689655172414,3,12,5,0.6068668252080857,101,80.0,,,,8.0,2.0,0.35,6.0,data/instances_rq1_extended/scheduling_ops8_machines2_conf0.35_seed101.json
scheduling_ops12_machines2_conf0.35_seed101,scheduling_toy,24,48,0.17391304347826086,4.0,6.0,1.1547005383792515,38.0,50.0,6.928203230275509,6.0,20.0,9.5,20.0,14.0,0.9550171724111998,0.043859649122807015,1,24,5,0.5264696829793782,101,120.0,,,,12.0,2.0,0.35,18.0,data/instances_rq1_extended/scheduling_ops12_machines2_conf0.35_seed101.json
scheduling_ops16_machines2_conf0.35_seed101,scheduling_toy,32,88,0.1774193548387097,5.5,7.0,1.0,47.0,56.0,6.0,6.0,20.0,8.545454545454545,20.0,14.0,0.9645573207385209,0.026595744680851064,1,32,6,0.442154255319149,101,160.0,,,,16.0,2.0,0.35,36.0,data/instances_rq1_extended/scheduling_ops16_machines2_conf0.35_seed101.json
scheduling_ops4_machines2_conf0.35_seed202,scheduling_toy,8,8,0.2857142857142857,2.0,3.0,0.7071067811865476,26.0,32.0,4.242640687119285,6.0,20.0,13.0,20.0,14.0,0.9264499457640246,0.19230769230769232,2,6,4,0.5125739644970415,202,40.0,,,,4.0,2.0,0.35,2.0,data/instances_rq1_extended/scheduling_ops4_machines2_conf0.35_seed202.json
scheduling_ops6_machines2_conf0.35_seed202,scheduling_toy,12,16,0.24242424242424243,2.6666666666666665,4.0,0.74535599249993,30.0,38.0,4.47213595499958,6.0,20.0,11.25,20.0,14.0,0.9372283832077561,0.1111111111111111,1,12,4,0.5172839506172838,202,60.0,,,,6.0,2.0,0.35,5.0,data/instances_rq1_extended/scheduling_ops6_machines2_conf0.35_seed202.json
scheduling_ops8_machines2_conf0.35_seed202,scheduling_toy,16,26,0.21666666666666667,3.25,4.0,0.82915619758885,33.5,38.0,4.9749371855331,6.0,20.0,10.307692307692308,20.0,14.0,0.9454716093917449,0.07462686567164178,1,16,4,0.5164847404767208,202,80.0,,,,8.0,2.0,0.35,9.0,data/instances_rq1_extended/scheduling_ops8_machines2_conf0.35_seed202.json
scheduling_ops12_machines2_conf0.35_seed202,scheduling_toy,24,64,0.2318840579710145,5.333333333333333,8.0,1.178511301977579,46.0,62.0,7.0710678118654755,6.0,20.0,8.625,20.0,14.0,0.9613932539684575,0.036231884057971016,1,24,5,0.42861268641041794,202,120.0,,,,12.0,2.0,0.35,26.0,data/instances_rq1_extended/scheduling_ops12_machines2_conf0.35_seed202.json
scheduling_ops16_machines2_conf0.35_seed202,scheduling_toy,32,104,0.20967741935483872,6.5,10.0,1.541103500742244,53.0,74.0,9.246621004453464,6.0,20.0,8.153846153846153,20.0,14.0,0.9682199246562321,0.02358490566037736,1,32,5,0.42084594161623345,202,160.0,,,,16.0,2.0,0.35,44.0,data/instances_rq1_extended/scheduling_ops16_machines2_conf0.35_seed202.json
scheduling_ops4_machines2_conf0.35_seed303,scheduling_toy,8,10,0.35714285714285715,2.5,3.0,0.5,29.0,32.0,3.0,6.0,20.0,11.6,20.0,14.0,0.9257007076154514,0.1724137931034483,1,8,4,0.4369797859690845,303,40.0,,,,4.0,2.0,0.35,3.0,data/instances_rq1_extended/scheduling_ops4_machines2_conf0.35_seed303.json
scheduling_ops6_machines2_conf0.35_seed303,scheduling_toy,12,22,0.3333333333333333,3.6666666666666665,5.0,0.9428090415820634,36.0,44.0,5.656854249492381,6.0,20.0,9.818181818181818,20.0,14.0,0.9429327491469246,0.09259259259259259,1,12,4,0.4014060356652949,303,60.0,,,,6.0,2.0,0.35,8.0,data/instances_rq1_extended/scheduling_ops6_machines2_conf0.35_seed303.json
scheduling_ops8_machines2_conf0.35_seed303,scheduling_toy,16,32,0.26666666666666666,4.0,6.0,1.5811388300841898,38.0,50.0,9.486832980505138,6.0,20.0,9.5,20.0,14.0,0.9497545189480339,0.06578947368421052,2,14,6,0.4130886426592797,303,80.0,,,,8.0,2.0,0.35,12.0,data/instances_rq1_extended/scheduling_ops8_machines2_conf0.35_seed303.json
scheduling_ops12_machines2_conf0.35_seed303,scheduling_toy,24,60,0.21739130434782608,5.0,7.0,1.7795130420052185,44.0,56.0,10.677078252031311,6.0,20.0,8.8,20.0,14.0,0.9598792649592003,0.03787878787878788,1,24,5,0.4369547750229569,303,120.0,,,,12.0,2.0,0.35,24.0,data/instances_rq1_extended/scheduling_ops12_machines2_conf0.35_seed303.json
scheduling_ops16_machines2_conf0.35_seed303,scheduling_toy,32,96,0.1935483870967742,6.0,10.0,2.2638462845343543,50.0,74.0,13.583077707206124,6.0,20.0,8.333333333333334,20.0,14.0,0.9664606974891626,0.025,1,32,6,0.42555,303,160.0,,,,16.0,2.0,0.35,40.0,data/instances_rq1_extended/scheduling_ops16_machines2_conf0.35_seed303.json
