instance_name,family,n_variables,n_quadratic_terms,qubo_json,p,gamma,beta,pre_transpile_n_qubits,pre_transpile_depth,pre_transpile_gate_count,pre_transpile_2q_count,pre_transpile_ops_json
maxcut_n8_p0.60_seed303,maxcut,8,20,data/instances_rq1_extended/maxcut_n8_p0.60_seed303.json,1,0.7,0.3,8,32,78,40,"{""barrier"": 2, ""cx"": 40, ""h"": 8, ""rx"": 8, ""rz"": 20}"
maxcut_n12_p0.30_seed303,maxcut,12,23,data/instances_rq1_extended/maxcut_n12_p0.30_seed303.json,1,0.7,0.3,12,35,95,46,"{""barrier"": 2, ""cx"": 46, ""h"": 12, ""rx"": 12, ""rz"": 23}"
maxcut_n12_p0.60_seed303,maxcut,12,43,data/instances_rq1_extended/maxcut_n12_p0.60_seed303.json,1,0.7,0.3,12,47,155,86,"{""barrier"": 2, ""cx"": 86, ""h"": 12, ""rx"": 12, ""rz"": 43}"
maxcut_n16_p0.30_seed303,maxcut,16,35,data/instances_rq1_extended/maxcut_n16_p0.30_seed303.json,1,0.7,0.3,16,41,139,70,"{""barrier"": 2, ""cx"": 70, ""h"": 16, ""rx"": 16, ""rz"": 35}"
maxcut_n16_p0.60_seed303,maxcut,16,73,data/instances_rq1_extended/maxcut_n16_p0.60_seed303.json,1,0.7,0.3,16,74,253,146,"{""barrier"": 2, ""cx"": 146, ""h"": 16, ""rx"": 16, ""rz"": 73}"
maxcut_n24_p0.30_seed303,maxcut,24,83,data/instances_rq1_extended/maxcut_n24_p0.30_seed303.json,1,0.7,0.3,24,80,299,166,"{""barrier"": 2, ""cx"": 166, ""h"": 24, ""rx"": 24, ""rz"": 83}"
maxcut_n24_p0.60_seed303,maxcut,24,170,data/instances_rq1_extended/maxcut_n24_p0.60_seed303.json,1,0.7,0.3,24,119,560,340,"{""barrier"": 2, ""cx"": 340, ""h"": 24, ""rx"": 24, ""rz"": 170}"
maxcut_n32_p0.30_seed303,maxcut,32,148,data/instances_rq1_extended/maxcut_n32_p0.30_seed303.json,1,0.7,0.3,32,98,510,296,"{""barrier"": 2, ""cx"": 296, ""h"": 32, ""rx"": 32, ""rz"": 148}"
maxcut_n32_p0.60_seed303,maxcut,32,301,data/instances_rq1_extended/maxcut_n32_p0.60_seed303.json,1,0.7,0.3,32,170,969,602,"{""barrier"": 2, ""cx"": 602, ""h"": 32, ""rx"": 32, ""rz"": 301}"
assignment_items4_bins2_seed101,assignment,8,4,data/instances_rq1_extended/assignment_items4_bins2_seed101.json,1,0.7,0.3,8,6,38,8,"{""barrier"": 2, ""cx"": 8, ""h"": 8, ""rx"": 8, ""rz"": 12}"
assignment_items6_bins2_seed101,assignment,12,6,data/instances_rq1_extended/assignment_items6_bins2_seed101.json,1,0.7,0.3,12,6,56,12,"{""barrier"": 2, ""cx"": 12, ""h"": 12, ""rx"": 12, ""rz"": 18}"
assignment_items8_bins2_seed101,assignment,16,8,data/instances_rq1_extended/assignment_items8_bins2_seed101.json,1,0.7,0.3,16,6,74,16,"{""barrier"": 2, ""cx"": 16, ""h"": 16, ""rx"": 16, ""rz"": 24}"
assignment_items12_bins2_seed101,assignment,24,12,data/instances_rq1_extended/assignment_items12_bins2_seed101.json,1,0.7,0.3,24,6,110,24,"{""barrier"": 2, ""cx"": 24, ""h"": 24, ""rx"": 24, ""rz"": 36}"
assignment_items16_bins2_seed101,assignment,32,16,data/instances_rq1_extended/assignment_items16_bins2_seed101.json,1,0.7,0.3,32,6,146,32,"{""barrier"": 2, ""cx"": 32, ""h"": 32, ""rx"": 32, ""rz"": 48}"
assignment_items4_bins2_seed202,assignment,8,4,data/instances_rq1_extended/assignment_items4_bins2_seed202.json,1,0.7,0.3,8,6,38,8,"{""barrier"": 2, ""cx"": 8, ""h"": 8, ""rx"": 8, ""rz"": 12}"
assignment_items6_bins2_seed202,assignment,12,6,data/instances_rq1_extended/assignment_items6_bins2_seed202.json,1,0.7,0.3,12,6,56,12,"{""barrier"": 2, ""cx"": 12, ""h"": 12, ""rx"": 12, ""rz"": 18}"
assignment_items8_bins2_seed202,assignment,16,8,data/instances_rq1_extended/assignment_items8_bins2_seed202.json,1,0.7,0.3,16,6,74,16,"{""barrier"": 2, ""cx"": 16, ""h"": 16, ""rx"": 16, ""rz"": 24}"
assignment_items12_bins2_seed202,assignment,24,12,data/instances_rq1_extended/assignment_items12_bins2_seed202.json,1,0.7,0.3,24,6,110,24,"{""barrier"": 2, ""cx"": 24, ""h"": 24, ""rx"": 24, ""rz"": 36}"
assignment_items16_bins2_seed202,assignment,32,16,data/instances_rq1_extended/assignment_items16_bins2_seed202.json,1,0.7,0.3,32,6,146,32,"{""barrier"": 2, ""cx"": 32, ""h"": 32, ""rx"": 32, ""rz"": 48}"
assignment_items4_bins2_seed303,assignment,8,4,data/instances_rq1_extended/assignment_items4_bins2_seed303.json,1,0.7,0.3,8,6,38,8,"{""barrier"": 2, ""cx"": 8, ""h"": 8, ""rx"": 8, ""rz"": 12}"
assignment_items6_bins2_seed303,assignment,12,6,data/instances_rq1_extended/assignment_items6_bins2_seed303.json,1,0.7,0.3,12,6,56,12,"{""barrier"": 2, ""cx"": 12, ""h"": 12, ""rx"": 12, ""rz"": 18}"
assignment_items8_bins2_seed303,assignment,16,8,data/instances_rq1_extended/assignment_items8_bins2_seed303.json,1,0.7,0.3,16,6,74,16,"{""barrier"": 2, ""cx"": 16, ""h"": 16, ""rx"": 16, ""rz"": 24}"
assignment_items12_bins2_seed303,assignment,24,12,data/instances_rq1_extended/assignment_items12_bins2_seed303.json,1,0.7,0.3,24,6,110,24,"{""barrier"": 2, ""cx"": 24, ""h"": 24, ""rx"": 24, ""rz"": 36}"
