strategy_name,n_rows,depth_win_rate_vs_natural_fixed,twoq_win_rate_vs_natural_fixed,swap_win_rate_vs_natural_fixed,depth_win_rate_vs_standard_qiskit,twoq_win_rate_vs_standard_qiskit,swap_win_rate_vs_standard_qiskit
bfs_topology_aware,180,0.20555555555555555,0.14444444444444443,0.14444444444444443,0.05,0.0,0.0
degree_desc_centrality_layout,180,0.25555555555555554,0.16666666666666666,0.16666666666666666,0.07777777777777778,0.0,0.0
degree_desc_fixed,180,0.28888888888888886,0.2,0.2,0.11666666666666667,0.005555555555555556,0.005555555555555556
natural_fixed,180,0.0,0.0,0.0,0.12222222222222222,0.044444444444444446,0.044444444444444446
random_fixed,180,0.16111111111111112,0.07777777777777778,0.07777777777777778,0.05555555555555555,0.0,0.0
standard_qiskit,180,0.6277777777777778,0.7111111111111111,0.7111111111111111,0.0,0.0,0.0
weighted_degree_desc_centrality_layout,180,0.2111111111111111,0.11666666666666667,0.11666666666666667,0.09444444444444444,0.0,0.0
weighted_degree_desc_fixed,180,0.29444444444444445,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.005555555555555556,0.005555555555555556
